1|1|8236|2|100.00
2|1|9560|1|399.00
3|1|8236|1|50.00
4|1|8938|1|130.00
5|1|1041|1|899.00
6|1|9560|1|399.00
7|1|8236|2|100.00
8|1|8938|1|130.00
9|1|1041|2|1798.00
10|0|9560|2|798.00
10|0|1041|1|899.00
11|0|1041|2|1798.00
12|1|9560|1|399.00
12|1|8236|1|50.00
12|1|8938|2|260.00
12|1|1041|2|1798.00
13|1|9560|1|399.00
13|1|8938|1|130.00
13|1|1041|1|899.00
14|1|1041|1|899.00
14|1|8938|1|130.00
15|1|1041|1|899.00
15|1|8938|1|130.00
16|1|8236|2|100.00
16|1|8938|2|260.00
16|1|1041|1|599.00
16|1|7176|1|1299.00
